category_id,category_name,size,ES,NES,p_value,leading_edge_size,leading_edge_genes,q_value
M00122,"Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin",5,0.587421123757243,1.0665027775004574,0.41674876847290643,3,"K02233,K00768,K19221",0.6338054187192118
M00793,"dTDP-L-Rha biosynthesis, Glc-1P => dTDP-L-Rha",4,-0.591503243446267,-1.0571114408598548,0.42857142857142855,2,"K00973,K01710",0.6450662739322532
M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",4,0.5975713522969545,1.0321136966990372,0.46206896551724136,2,"K00927,K01625",0.6801557502433598
M00845,"Arginine biosynthesis, glutamate => acetylcitrulline => arginine",5,-0.5430442079432725,-1.0190669364766238,0.46605876393110435,1,K01438,0.6801557502433598
M00532,Photorespiration,6,-0.5240764318775708,-1.0246696644115996,0.4676113360323887,3,"K02437,K00281,K00605",0.6801557502433598
M00913,"Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate",3,0.6313357361720723,1.0391798235666652,0.474,2,"K00606,K01918",0.6801557502433598
M00988,"PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine",5,-0.5397485120514747,-1.0128822931881278,0.475177304964539,3,"K06879,K01495,K01737",0.6801557502433598
M00878,"Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",11,0.4421110835071016,0.9824451327184744,0.4951644100580271,4,"K01692,K02612,K02618,K15866",0.6956991284577492
M00552,"Galactonate degradation, De Ley-Doudoroff pathway, galactonate => glycerate-3P",5,0.5476364569594222,0.9942710242900624,0.49556650246305417,1,K00927,0.6956991284577492
M00616,Sulfate-sulfur assimilation,5,0.5388255047153182,0.9782741446057626,0.5172413793103449,4,"K02048,K02045,K02046,K02047",0.7166175513796931
M00926,"Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme",7,-0.48333983193248936,-0.9624847383986651,0.5202839756592292,2,"K01845,K01772",0.7166175513796931
M00006,"Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P",3,0.5999220376550873,0.9874728160077593,0.534,2,"K07404,K00036",0.7231791061578294
M00064,"ADP-LDmanHep biosynthesis, sedoheptulose-7P => ADP-LDmanHep",4,-0.5357852882703775,-0.9575344925838307,0.5349544072948328,4,"K03272,K03273,K03271,K03274",0.7231791061578294
M00569,"Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA",4,-0.5303268408588897,-0.947779369054166,0.5420466058763931,3,"K01666,K04073,K02554",0.7260440775959026
M00880,"Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",6,-0.478997400124765,-0.9365315350691642,0.5526315789473685,4,"K03831,K03637,K03635,K03639",0.7334928229665072
M00844,"Arginine biosynthesis, ornithine => arginine",3,-0.5886054985094222,-0.9608131459907269,0.5728542914171657,3,"K01755,K00611,K01940",0.7414595099390758
M00029,Urea cycle,3,-0.5886054985094222,-0.9608131459907269,0.5728542914171657,3,"K01755,K00611,K01940",0.7414595099390758
M00546,"Purine degradation, xanthine => urea",8,0.4318576563244698,0.8923860450626577,0.5738693467336683,5,"K11178,K11177,K13483,K01466,K00087",0.7414595099390758
M00176,"Assimilatory sulfate reduction, sulfate => H2S",6,-0.4544257986030443,-0.8884893542843605,0.5981781376518218,3,"K00381,K00390,K00860",0.7660877903260175
M00034,Methionine salvage pathway,6,-0.43346174376510516,-0.8475006172817477,0.6437246963562753,3,"K05810,K00797,K01611",0.817250484069706
M00550,"Ascorbate degradation, ascorbate => D-xylulose-5P",7,-0.41390798004539775,-0.8242236364056965,0.6713995943204868,4,"K03475,K03079,K02821,K03476",0.8361410196967355
M00115,"NAD biosynthesis, aspartate => quinolinate => NAD",5,0.4585425398115127,0.8325149922820808,0.6748768472906403,2,"K01916,K03517",0.8361410196967355
M00063,"CMP-KDO biosynthesis, ribulose-5P => CMP-KDO",4,-0.46785950960901757,-0.8361402000793963,0.6757852077001013,4,"K01627,K00979,K03270,K06041",0.8361410196967355
M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD",3,0.5051557831693514,0.8314873807246851,0.684,1,K01916,0.8391932773109244
M00631,"Galacturonate degradation, bacteria, galacturonate => pyruvate + glyceraldehyde-3P",5,-0.43165235493933035,-0.8100310003065068,0.690982776089159,2,"K01685,K01812",0.839801652892562
M00914,"Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA",3,0.49882367693647134,0.8210647218113993,0.696,1,K00606,0.839801652892562
M00855,"Glycogen degradation, glycogen => glucose-6P",4,-0.44168323392975944,-0.7893589849191467,0.7183383991894631,4,"K02438,K01835,K00688,K00705",0.8596508711611607
